"DisplayName","Name","Action","Direction","Protocol","LocalPorts","ApplicationName"
"AllJoyn Router (TCP-In)","AllJoyn-Router-In-TCP","Allow","Inbound",,,
"AllJoyn Router (UDP-In)","AllJoyn-Router-In-UDP","Allow","Inbound",,,
"Allow WinRM HTTPS","{60CE3513-80E3-466A-801C-619FDACD0A93}","Allow","Inbound",,,
"App Installer","{63A79B77-A873-48EA-B2B5-B3B8F18D9566}","Allow","Inbound",,,
"Cast to Device functionality (qWave-TCP-In)","PlayTo-QWave-In-TCP-PlayToScope","Allow","Inbound",,,
"Cast to Device functionality (qWave-UDP-In)","PlayTo-QWave-In-UDP-PlayToScope","Allow","Inbound",,,
"Cast to Device SSDP Discovery (UDP-In)","PlayTo-SSDP-Discovery-PlayToScope","Allow","Inbound",,,
"Cast to Device streaming server (HTTP-Streaming-In)","PlayTo-HTTPSTR-In-TCP-LocalSubnetScope","Allow","Inbound",,,
"Cast to Device streaming server (HTTP-Streaming-In)","PlayTo-HTTPSTR-In-TCP-NoScope","Allow","Inbound",,,
"Cast to Device streaming server (HTTP-Streaming-In)","PlayTo-HTTPSTR-In-TCP-PlayToScope","Allow","Inbound",,,
"Cast to Device streaming server (RTCP-Streaming-In)","PlayTo-In-UDP-NoScope","Allow","Inbound",,,
"Cast to Device streaming server (RTCP-Streaming-In)","PlayTo-In-UDP-PlayToScope","Allow","Inbound",,,
"Cast to Device streaming server (RTCP-Streaming-In)","PlayTo-In-UDP-LocalSubnetScope","Allow","Inbound",,,
"Cast to Device streaming server (RTSP-Streaming-In)","PlayTo-In-RTSP-LocalSubnetScope","Allow","Inbound",,,
"Cast to Device streaming server (RTSP-Streaming-In)","PlayTo-In-RTSP-PlayToScope","Allow","Inbound",,,
"Cast to Device streaming server (RTSP-Streaming-In)","PlayTo-In-RTSP-NoScope","Allow","Inbound",,,
"Cast to Device UPnP Events (TCP-In)","PlayTo-UPnP-Events-PlayToScope","Allow","Inbound",,,
"Connect","{77D5551C-14B5-46F6-B478-F71F18F4D9BD}","Allow","Inbound",,,
"Connect","{2E4F04BA-43D7-4FDE-B23B-F0D4E19EBDE1}","Allow","Inbound",,,
"Connected Devices Platform - Wi-Fi Direct Transport (TCP-In)","CDPSvc-WFD-In-TCP","Allow","Inbound",,,
"Connected Devices Platform (TCP-In)","CDPSvc-In-TCP","Allow","Inbound",,,
"Connected Devices Platform (UDP-In)","CDPSvc-In-UDP","Allow","Inbound",,,
"Core Networking - Destination Unreachable (ICMPv6-In)","CoreNet-ICMP6-DU-In","Allow","Inbound",,,
"Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)","CoreNet-ICMP4-DUFRAG-In","Allow","Inbound",,,
"Core Networking - Dynamic Host Configuration Protocol (DHCP-In)","CoreNet-DHCP-In","Allow","Inbound",,,
"Core Networking - Dynamic Host Configuration Protocol for IPv6(DHCPV6-In)","CoreNet-DHCPV6-In","Allow","Inbound",,,
"Core Networking - Internet Group Management Protocol (IGMP-In)","CoreNet-IGMP-In","Allow","Inbound",,,
"Core Networking - IPHTTPS (TCP-In)","CoreNet-IPHTTPS-In","Allow","Inbound",,,
"Core Networking - IPv6 (IPv6-In)","CoreNet-IPv6-In","Allow","Inbound",,,
"Core Networking - Multicast Listener Done (ICMPv6-In)","CoreNet-ICMP6-LD-In","Allow","Inbound",,,
"Core Networking - Multicast Listener Query (ICMPv6-In)","CoreNet-ICMP6-LQ-In","Allow","Inbound",,,
"Core Networking - Multicast Listener Report (ICMPv6-In)","CoreNet-ICMP6-LR-In","Allow","Inbound",,,
"Core Networking - Multicast Listener Report v2 (ICMPv6-In)","CoreNet-ICMP6-LR2-In","Allow","Inbound",,,
"Core Networking - Neighbor Discovery Advertisement (ICMPv6-In)","CoreNet-ICMP6-NDA-In","Allow","Inbound",,,
"Core Networking - Neighbor Discovery Solicitation (ICMPv6-In)","CoreNet-ICMP6-NDS-In","Allow","Inbound",,,
"Core Networking - Packet Too Big (ICMPv6-In)","CoreNet-ICMP6-PTB-In","Allow","Inbound",,,
"Core Networking - Parameter Problem (ICMPv6-In)","CoreNet-ICMP6-PP-In","Allow","Inbound",,,
"Core Networking - Router Advertisement (ICMPv6-In)","CoreNet-ICMP6-RA-In","Allow","Inbound",,,
"Core Networking - Router Solicitation (ICMPv6-In)","CoreNet-ICMP6-RS-In","Allow","Inbound",,,
"Core Networking - Teredo (UDP-In)","CoreNet-Teredo-In","Allow","Inbound",,,
"Core Networking - Time Exceeded (ICMPv6-In)","CoreNet-ICMP6-TE-In","Allow","Inbound",,,
"Cortana","{46ECD1AC-2444-4DE3-B681-10EB1FBE63FC}","Allow","Inbound",,,
"Delivery Optimization (TCP-In)","DeliveryOptimization-TCP-In","Allow","Inbound",,,
"Delivery Optimization (UDP-In)","DeliveryOptimization-UDP-In","Allow","Inbound",,,
"DIAL protocol server (HTTP-In)","DIAL-Protocol-Server-HTTPSTR-In-TCP-LocalSubnetScope","Allow","Inbound",,,
"DIAL protocol server (HTTP-In)","DIAL-Protocol-Server-In-TCP-NoScope","Allow","Inbound",,,
"Feedback Hub","{E9519C9D-65B7-4E7D-A526-783134FB9795}","Allow","Inbound",,,
"Groove Music","{FE949A09-F60C-4CD0-9E53-A8C74F12C648}","Allow","Inbound",,,
"Mail and Calendar","{F184BA94-CDA9-4485-9400-8BDC1C9DBF5B}","Allow","Inbound",,,
"mDNS (UDP-In)","MDNS-In-UDP-Active","Allow","Inbound",,,
"Microsoft Edge","{5467FCF2-70B4-4406-B520-176108AD7DFF}","Allow","Inbound",,,
"Microsoft Messaging","{93097FF3-A8EF-44BC-929A-B8A55617CD2E}","Allow","Inbound",,,
"Microsoft Photos","{B39CCDFD-902E-4683-9C38-D0221C4CF993}","Allow","Inbound",,,
"Microsoft Remote Desktop","{8B2FEDF0-ADAA-4436-9249-9E25F7AB2BB9}","Allow","Inbound",,,
"Microsoft Solitaire Collection","{FB6B40DB-01F6-463C-9536-90232936B9FD}","Allow","Inbound",,,
"Microsoft Sticky Notes","{A4A00857-5C77-4676-A9EF-C2F843FE1800}","Allow","Inbound",,,
"Microsoft Store","{038E74BF-B769-4A39-9375-3922C35BA425}","Allow","Inbound",,,
"Mobile Plans","{34F3E6FC-2A00-47C1-9C6C-C9BFA717AE23}","Allow","Inbound",,,
"Movies & TV","{4175A539-C0A0-453E-B17A-5152A46A00EA}","Allow","Inbound",,,
"My Office","{C4DC51F7-5FB1-425A-BFAA-13785517D809}","Allow","Inbound",,,
