Name,Version
a11y-profile-manager-indicator,0.1.10
account-plugin-facebook,0.12
account-plugin-flickr,0.12
account-plugin-google,0.12
accountsservice,0.6.40
acl,2.2.52
acpi-support,0.142
acpid,2.0.26
activity-log-manager,0.9.7
adduser,3.113
adium-theme-ubuntu,0.3.4
adwaita-icon-theme,3.18.0
aisleriot,3.18.2
alsa-base,1.0.25
alsa-utils,1.1.0
amd64-microcode,3.20180524.1
anacron,2.3
apg,2.2.3.dfsg.1
app-install-data,15.10
app-install-data-partner,16.04
apparmor,2.10.95
appmenu-qt:amd64,0.2.7
appmenu-qt5,0.3.0
apport,2.20.1
apport-gtk,2.20.1
apport-symptoms,0.20
appstream,0.9.4
apt,1.2.29
apt-transport-https,1.2.29
apt-utils,1.2.29
aptdaemon,1.1.1
aptdaemon-data,1.1.1
apturl,0.5.2
apturl-common,0.5.2
aspcud,1.9.1
aspell,0.60.7
aspell-en,7.1
at-spi2-core,2.18.3
autoconf,2.69
automake,1.15
autotools-dev,20150820.1
avahi-autoipd,0.6.32
avahi-daemon,0.6.32
avahi-utils,0.6.32
bamfdaemon,0.5.3
baobab,3.18.1
base-files,9.4
base-passwd,3.5.39
bash,4.3
bash-completion,2.1
bbswitch-dkms,0.8
bc,1.06.95
bind9-host,9.10.3.dfsg.P4
binfmt-support,2.1.6
binutils,2.26.1
binutils-dev,2.26.1
bison,3.0.4.dfsg
blt,2.5.3
bluez,5.37
bluez-cups,5.37
bluez-obexd,5.37
branding-ubuntu,0.8
brltty,5.3.1
bsdmainutils,9.0.6
bsdutils,2.27.1
build-essential,12.1
busybox-initramfs,1.22.0
busybox-static,1.22.0
bzip2,1.0.6
bzip2-doc,1.0.6
bzr,2.7.0
ca-certificates,20170717
ca-certificates-java,20160321
camlidl,1.05
camlp4,4.02.1
certbot,0.22.2
checkbox-converged,1.2.4
checkbox-gui,1.2.4
cheese,3.18.1
cheese-common,3.18.1
chromium-codecs-ffmpeg-extra,71.0.3578.98
clasp,3.1.4
cmake,3.5.1
cmake-data,3.5.1
colord,1.2.12
colord-data,1.2.12
comerr-dev,2.1
command-not-found,0.3
command-not-found-data,0.3
compiz,0.9.12.3
