Name,Version
accountsservice,0.6.45-1ubuntu1
acl,2.2.52-3build1
acpid,1:2.0.28-1ubuntu1
adduser,3.116ubuntu1
adwaita-icon-theme,3.28.0-1ubuntu1
apparmor,2.12-4ubuntu5.1
apport,2.20.9-0ubuntu7.2
apport-symptoms,0.20
apt,1.6.6ubuntu0.1
apt-utils,1.6.6ubuntu0.1
at,3.1.20-3.1ubuntu2
at-spi2-core,2.28.0-1
base-files,10.1ubuntu2.2
base-passwd,3.5.44
bash,4.4.18-2ubuntu1
bash-completion,1:2.8-1ubuntu1
bc,1.07.1-2
bcache-tools,1.0.8-2build1
bind9-host,1:9.11.3+dfsg-1ubuntu1.2
binfmt-support,2.1.8-2
binutils,2.30-20ubuntu2~18.04
binutils-common:amd64,2.30-20ubuntu2~18.04
binutils-x86-64-linux-gnu,2.30-20ubuntu2~18.04
bsdmainutils,11.1.2ubuntu1
bsdutils,1:2.31.1-0.4ubuntu3.1
btrfs-progs,4.15.1-1build1
btrfs-tools,4.15.1-1build1
build-essential,12.4ubuntu1
busybox-initramfs,1:1.27.2-2ubuntu3
busybox-static,1:1.27.2-2ubuntu3
byobu,5.125-0ubuntu1
bzip2,1.0.6-8.1
ca-certificates,20180409
castxml,0.1+git20170823-1
cloud-guest-utils,0.30-0ubuntu5
cloud-init,18.2-27-g6ef92c98-0ubuntu1~18.04.1
cloud-initramfs-copymods,0.40ubuntu1
cloud-initramfs-dyn-netconf,0.40ubuntu1
cmake,3.10.2-1ubuntu2
cmake-data,3.10.2-1ubuntu2
command-not-found,18.04.5
command-not-found-data,18.04.5
console-setup,1.178ubuntu2.3
console-setup-linux,1.178ubuntu2.3
coreutils,8.28-1ubuntu1
cpio,2.12+dfsg-6
cpp,4:7.3.0-3ubuntu2.1
cpp-7,7.3.0-27ubuntu1~18.04
cpu-checker,0.7-0ubuntu7
cron,3.0pl1-128.1ubuntu1
cryptsetup,2:2.0.2-1ubuntu1
cryptsetup-bin,2:2.0.2-1ubuntu1
curl,7.58.0-2ubuntu3.5
dash,0.5.8-2.10
dbus,1.12.2-1ubuntu1
dconf-gsettings-backend:amd64,0.26.0-2ubuntu3
dconf-service,0.26.0-2ubuntu3
debconf,1.5.66
debconf-i18n,1.5.66
debianutils,4.8.4
dh-python,3.20180325ubuntu2
diffutils,1:3.6-1
dirmngr,2.2.4-1ubuntu1.2
distro-info-data,0.37ubuntu0.2
dkms,2.3-3ubuntu9.2
dmeventd,2:1.02.145-4.1ubuntu3
