Name,Status
acpid,Stopped
apparmor,Running
apport,Running
atd,Running
binfmt-support,Running
console-setup.sh,Stopped
cron,Running
cryptdisks,Stopped
cryptdisks-early,Stopped
dbus,Running
ebtables,Running
gdomap,Stopped
grub-common,Running
hwclock.sh,Stopped
irqbalance,Running
iscsid,Running
keyboard-setup.sh,Stopped
kmod,Running
lvm2,Stopped
lvm2-lvmetad,Running
lvm2-lvmpolld,Running
lxcfs,Running
lxd,Stopped
mdadm,Stopped
mdadm-waitidle,Stopped
open-iscsi,Stopped
open-vm-tools,Stopped
plymouth,Stopped
plymouth-log,Stopped
procps,Running
rsync,Stopped
rsyslog,Running
screen-cleanup,Stopped
ssh,Running
udev,Running
ufw,Running
unattended-upgrades,Running
uuidd,Stopped
virtualbox,Running
x11-common,Stopped
